"hugo_gene"	"link"
"ALOX5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5', target = '_blank'>GeneCards</a>"
"APH1A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=APH1A', target = '_blank'>GeneCards</a>"
"APH1B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=APH1B', target = '_blank'>GeneCards</a>"
"NCSTN"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NCSTN', target = '_blank'>GeneCards</a>"
"PSEN1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN1', target = '_blank'>GeneCards</a>"
"PSEN2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN2', target = '_blank'>GeneCards</a>"
"PSENEN"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSENEN', target = '_blank'>GeneCards</a>"
"CYP2A6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2A6', target = '_blank'>GeneCards</a>"
"ALK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK', target = '_blank'>GeneCards</a>"
"ITGA4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA4', target = '_blank'>GeneCards</a>"
"ITGB1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1', target = '_blank'>GeneCards</a>"
"ITGB7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB7', target = '_blank'>GeneCards</a>"
"ADORA1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA1', target = '_blank'>GeneCards</a>"
"ADORA2A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA2A', target = '_blank'>GeneCards</a>"
"ADORA3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA3', target = '_blank'>GeneCards</a>"
"CTSK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSK', target = '_blank'>GeneCards</a>"
"CTSL"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSL', target = '_blank'>GeneCards</a>"
"CTSS"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSS', target = '_blank'>GeneCards</a>"
"TDP1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TDP1', target = '_blank'>GeneCards</a>"
"NTRK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1', target = '_blank'>GeneCards</a>"
"MCHR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MCHR1', target = '_blank'>GeneCards</a>"
"CHRM2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM2', target = '_blank'>GeneCards</a>"
"CHRM5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM5', target = '_blank'>GeneCards</a>"
"HTR3A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR3A', target = '_blank'>GeneCards</a>"
"SLC22A2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A2', target = '_blank'>GeneCards</a>"
"SLC22A3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A3', target = '_blank'>GeneCards</a>"
"SLC47A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC47A1', target = '_blank'>GeneCards</a>"
"SLC47A2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC47A2', target = '_blank'>GeneCards</a>"
"GLS"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GLS', target = '_blank'>GeneCards</a>"
"MC4R"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MC4R', target = '_blank'>GeneCards</a>"
"PDE6D"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE6D', target = '_blank'>GeneCards</a>"
"CA1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CA1', target = '_blank'>GeneCards</a>"
"CA12"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CA12', target = '_blank'>GeneCards</a>"
"CA2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CA2', target = '_blank'>GeneCards</a>"
"CA9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CA9', target = '_blank'>GeneCards</a>"
"NPY5R"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NPY5R', target = '_blank'>GeneCards</a>"
"DPP4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4', target = '_blank'>GeneCards</a>"
"CDK5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5', target = '_blank'>GeneCards</a>"
"CDK5R1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5R1', target = '_blank'>GeneCards</a>"
"F9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=F9', target = '_blank'>GeneCards</a>"
"MAPK11"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK11', target = '_blank'>GeneCards</a>"
"MAPK12"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK12', target = '_blank'>GeneCards</a>"
"MAPK13"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK13', target = '_blank'>GeneCards</a>"
"AR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AR', target = '_blank'>GeneCards</a>"
"SLC9A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A1', target = '_blank'>GeneCards</a>"
"MAP3K8"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K8', target = '_blank'>GeneCards</a>"
"GRM5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM5', target = '_blank'>GeneCards</a>"
"GRM1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM1', target = '_blank'>GeneCards</a>"
"GABRA5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA5', target = '_blank'>GeneCards</a>"
"GABRB3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRB3', target = '_blank'>GeneCards</a>"
"GABRG2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRG2', target = '_blank'>GeneCards</a>"
"GABRA1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA1', target = '_blank'>GeneCards</a>"
"GABRA2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA2', target = '_blank'>GeneCards</a>"
"GABRA3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA3', target = '_blank'>GeneCards</a>"
"PIK3CB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CB', target = '_blank'>GeneCards</a>"
"PIK3CG"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG', target = '_blank'>GeneCards</a>"
"CCR5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5', target = '_blank'>GeneCards</a>"
"HCAR2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HCAR2', target = '_blank'>GeneCards</a>"
"EGFR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR', target = '_blank'>GeneCards</a>"
"PDPK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDPK1', target = '_blank'>GeneCards</a>"
"VHL"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL', target = '_blank'>GeneCards</a>"
"AADAT"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AADAT', target = '_blank'>GeneCards</a>"
"ACACB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACB', target = '_blank'>GeneCards</a>"
"PRKCB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCB', target = '_blank'>GeneCards</a>"
"CHRNA7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA7', target = '_blank'>GeneCards</a>"
"PREP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PREP', target = '_blank'>GeneCards</a>"
"GNRHR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRHR', target = '_blank'>GeneCards</a>"
"ELOB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ELOB', target = '_blank'>GeneCards</a>"
"ELOC"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ELOC', target = '_blank'>GeneCards</a>"
"JAK3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK3', target = '_blank'>GeneCards</a>"
"CNR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CNR1', target = '_blank'>GeneCards</a>"
"CNR2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CNR2', target = '_blank'>GeneCards</a>"
