"hugo_gene"	"link"
"GAPDH"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPDH', target = '_blank'>GeneCards</a>"
"PIK3C2A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C2A', target = '_blank'>GeneCards</a>"
"SLC22A8"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A8', target = '_blank'>GeneCards</a>"
"FKBP1B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP1B', target = '_blank'>GeneCards</a>"
"KAT5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT5', target = '_blank'>GeneCards</a>"
"DNMT3B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3B', target = '_blank'>GeneCards</a>"
"NGFR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NGFR', target = '_blank'>GeneCards</a>"
"PLD2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PLD2', target = '_blank'>GeneCards</a>"
"ADRBK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRBK1', target = '_blank'>GeneCards</a>"
"ADAM10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM10', target = '_blank'>GeneCards</a>"
"ADA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA', target = '_blank'>GeneCards</a>"
"RAP1A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RAP1A', target = '_blank'>GeneCards</a>"
"PYGB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGB', target = '_blank'>GeneCards</a>"
"NR1D2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1D2', target = '_blank'>GeneCards</a>"
"SELP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SELP', target = '_blank'>GeneCards</a>"
"CHRNA5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA5', target = '_blank'>GeneCards</a>"
"H1F0"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=H1F0', target = '_blank'>GeneCards</a>"
"TLR9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR9', target = '_blank'>GeneCards</a>"
"MAPKAPK5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPKAPK5', target = '_blank'>GeneCards</a>"
"DYNLL1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNLL1', target = '_blank'>GeneCards</a>"
"MINK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MINK1', target = '_blank'>GeneCards</a>"
"NEK6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK6', target = '_blank'>GeneCards</a>"
"PARP4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP4', target = '_blank'>GeneCards</a>"
"CCDC6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC6', target = '_blank'>GeneCards</a>"
"EBPL"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EBPL', target = '_blank'>GeneCards</a>"
"ADCK3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCK3', target = '_blank'>GeneCards</a>"
"UBASH3B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=UBASH3B', target = '_blank'>GeneCards</a>"
"PTGES2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES2', target = '_blank'>GeneCards</a>"
"ANXA2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA2', target = '_blank'>GeneCards</a>"
"S100A10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A10', target = '_blank'>GeneCards</a>"
"HTT"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HTT', target = '_blank'>GeneCards</a>"
"MMP16"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP16', target = '_blank'>GeneCards</a>"
"MMP20"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP20', target = '_blank'>GeneCards</a>"
"MMP24"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP24', target = '_blank'>GeneCards</a>"
"IDE"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=IDE', target = '_blank'>GeneCards</a>"
"PARP14"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP14', target = '_blank'>GeneCards</a>"
"ADRM1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRM1', target = '_blank'>GeneCards</a>"
"PSMA1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA1', target = '_blank'>GeneCards</a>"
"PSMA2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA2', target = '_blank'>GeneCards</a>"
"PSMA3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA3', target = '_blank'>GeneCards</a>"
"PSMA4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA4', target = '_blank'>GeneCards</a>"
"PSMA5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA5', target = '_blank'>GeneCards</a>"
"PSMA6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA6', target = '_blank'>GeneCards</a>"
"PSMA7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA7', target = '_blank'>GeneCards</a>"
"PSMA8"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA8', target = '_blank'>GeneCards</a>"
"PSMB10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB10', target = '_blank'>GeneCards</a>"
"PSMB11"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB11', target = '_blank'>GeneCards</a>"
"PSMB3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB3', target = '_blank'>GeneCards</a>"
"PSMB4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB4', target = '_blank'>GeneCards</a>"
"PSMB6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB6', target = '_blank'>GeneCards</a>"
"PSMB7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB7', target = '_blank'>GeneCards</a>"
"PSMC1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC1', target = '_blank'>GeneCards</a>"
"PSMC2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC2', target = '_blank'>GeneCards</a>"
"PSMC3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC3', target = '_blank'>GeneCards</a>"
"PSMC4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC4', target = '_blank'>GeneCards</a>"
"PSMC5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC5', target = '_blank'>GeneCards</a>"
"PSMC6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC6', target = '_blank'>GeneCards</a>"
"PSMD1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD1', target = '_blank'>GeneCards</a>"
"PSMD11"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD11', target = '_blank'>GeneCards</a>"
"PSMD12"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD12', target = '_blank'>GeneCards</a>"
"PSMD13"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD13', target = '_blank'>GeneCards</a>"
"PSMD14"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD14', target = '_blank'>GeneCards</a>"
"PSMD2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD2', target = '_blank'>GeneCards</a>"
"PSMD3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD3', target = '_blank'>GeneCards</a>"
"PSMD4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD4', target = '_blank'>GeneCards</a>"
"PSMD6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD6', target = '_blank'>GeneCards</a>"
"PSMD7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD7', target = '_blank'>GeneCards</a>"
"PSMD8"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD8', target = '_blank'>GeneCards</a>"
"SEM1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SEM1', target = '_blank'>GeneCards</a>"
"EIF4A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4A1', target = '_blank'>GeneCards</a>"
"PASK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PASK', target = '_blank'>GeneCards</a>"
"PFKP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKP', target = '_blank'>GeneCards</a>"
"PDXK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDXK', target = '_blank'>GeneCards</a>"
"EGLN3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EGLN3', target = '_blank'>GeneCards</a>"
"CRBN"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CRBN', target = '_blank'>GeneCards</a>"
"IFNAR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNAR1', target = '_blank'>GeneCards</a>"
"KIF5B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF5B', target = '_blank'>GeneCards</a>"
"PRMT3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT3', target = '_blank'>GeneCards</a>"
"FTO"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FTO', target = '_blank'>GeneCards</a>"
"GART"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GART', target = '_blank'>GeneCards</a>"
"SI"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SI', target = '_blank'>GeneCards</a>"
"GLRA2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRA2', target = '_blank'>GeneCards</a>"
"CASP2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP2', target = '_blank'>GeneCards</a>"
"EED"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EED', target = '_blank'>GeneCards</a>"
"SUZ12"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUZ12', target = '_blank'>GeneCards</a>"
"ERN2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ERN2', target = '_blank'>GeneCards</a>"
"LAGE3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=LAGE3', target = '_blank'>GeneCards</a>"
"OSGEP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=OSGEP', target = '_blank'>GeneCards</a>"
"SAV1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SAV1', target = '_blank'>GeneCards</a>"
"KLK5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK5', target = '_blank'>GeneCards</a>"
"IL2RA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA', target = '_blank'>GeneCards</a>"
"HSD3B1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD3B1', target = '_blank'>GeneCards</a>"
"LEF1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=LEF1', target = '_blank'>GeneCards</a>"
"DNPH1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DNPH1', target = '_blank'>GeneCards</a>"
"CD74"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CD74', target = '_blank'>GeneCards</a>"
"BPTF"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BPTF', target = '_blank'>GeneCards</a>"
"ALKBH3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ALKBH3', target = '_blank'>GeneCards</a>"
"CKAP5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CKAP5', target = '_blank'>GeneCards</a>"
"SNRPF"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPF', target = '_blank'>GeneCards</a>"
"PPME1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PPME1', target = '_blank'>GeneCards</a>"
"MAN1B1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAN1B1', target = '_blank'>GeneCards</a>"
"PADI1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PADI1', target = '_blank'>GeneCards</a>"
"PADI2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PADI2', target = '_blank'>GeneCards</a>"
"PADI3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PADI3', target = '_blank'>GeneCards</a>"
"KLK7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK7', target = '_blank'>GeneCards</a>"
"RAD54L"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD54L', target = '_blank'>GeneCards</a>"
"BCL2L10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L10', target = '_blank'>GeneCards</a>"
"TMPRSS4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS4', target = '_blank'>GeneCards</a>"
"APC"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=APC', target = '_blank'>GeneCards</a>"
"SLC2A3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A3', target = '_blank'>GeneCards</a>"
"SLCO1B1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO1B1', target = '_blank'>GeneCards</a>"
"ODC1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ODC1', target = '_blank'>GeneCards</a>"
"FFAR2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FFAR2', target = '_blank'>GeneCards</a>"
"KIF20A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF20A', target = '_blank'>GeneCards</a>"
"FOS"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS', target = '_blank'>GeneCards</a>"
"TRPM5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM5', target = '_blank'>GeneCards</a>"
"SLC2A2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A2', target = '_blank'>GeneCards</a>"
"MARS"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MARS', target = '_blank'>GeneCards</a>"
"KCNK18"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK18', target = '_blank'>GeneCards</a>"
"QPCTL"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=QPCTL', target = '_blank'>GeneCards</a>"
"FANCI"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCI', target = '_blank'>GeneCards</a>"
"MYH10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH10', target = '_blank'>GeneCards</a>"
"DNAJA1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJA1', target = '_blank'>GeneCards</a>"
"NFKBIA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIA', target = '_blank'>GeneCards</a>"
"TXNRD1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD1', target = '_blank'>GeneCards</a>"
"TXNRD2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD2', target = '_blank'>GeneCards</a>"
"TXNRD3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD3', target = '_blank'>GeneCards</a>"
"GPR139"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR139', target = '_blank'>GeneCards</a>"
"CD274"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274', target = '_blank'>GeneCards</a>"
"SLC10A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC10A1', target = '_blank'>GeneCards</a>"
"KYAT3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KYAT3', target = '_blank'>GeneCards</a>"
"EHMT1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EHMT1', target = '_blank'>GeneCards</a>"
"ARHGDIA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGDIA', target = '_blank'>GeneCards</a>"
"HGF"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF', target = '_blank'>GeneCards</a>"
"NCOA4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA4', target = '_blank'>GeneCards</a>"
"KCND3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCND3', target = '_blank'>GeneCards</a>"
"RPA1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RPA1', target = '_blank'>GeneCards</a>"
"SENP1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SENP1', target = '_blank'>GeneCards</a>"
"PTPRR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRR', target = '_blank'>GeneCards</a>"
"AXIN2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AXIN2', target = '_blank'>GeneCards</a>"
"ANO1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO1', target = '_blank'>GeneCards</a>"
"ELOVL3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ELOVL3', target = '_blank'>GeneCards</a>"
"TSG101"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TSG101', target = '_blank'>GeneCards</a>"
"TAC3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TAC3', target = '_blank'>GeneCards</a>"
"GPR183"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR183', target = '_blank'>GeneCards</a>"
"KLK14"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK14', target = '_blank'>GeneCards</a>"
"ULK2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ULK2', target = '_blank'>GeneCards</a>"
"ITGB8"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB8', target = '_blank'>GeneCards</a>"
"SLC6A13"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A13', target = '_blank'>GeneCards</a>"
"CAPN2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN2', target = '_blank'>GeneCards</a>"
"FCGRT"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGRT', target = '_blank'>GeneCards</a>"
"GGT1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT1', target = '_blank'>GeneCards</a>"
"CTBP2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP2', target = '_blank'>GeneCards</a>"
"RNASEH1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEH1', target = '_blank'>GeneCards</a>"
"FSHR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FSHR', target = '_blank'>GeneCards</a>"
"EZR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EZR', target = '_blank'>GeneCards</a>"
"KCNQ2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ2', target = '_blank'>GeneCards</a>"
"KCNQ3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ3', target = '_blank'>GeneCards</a>"
"KCNQ4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ4', target = '_blank'>GeneCards</a>"
"KCNQ5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ5', target = '_blank'>GeneCards</a>"
"CLTC"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CLTC', target = '_blank'>GeneCards</a>"
"MDH1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MDH1', target = '_blank'>GeneCards</a>"
"PANK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK1', target = '_blank'>GeneCards</a>"
"SGMS1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SGMS1', target = '_blank'>GeneCards</a>"
"PRUNE1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PRUNE1', target = '_blank'>GeneCards</a>"
"EEF1A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1A1', target = '_blank'>GeneCards</a>"
"EEF1A2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1A2', target = '_blank'>GeneCards</a>"
"CD22"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CD22', target = '_blank'>GeneCards</a>"
"TAS1R1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TAS1R1', target = '_blank'>GeneCards</a>"
"TAS1R2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TAS1R2', target = '_blank'>GeneCards</a>"
"TAS1R3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TAS1R3', target = '_blank'>GeneCards</a>"
"POLG"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG', target = '_blank'>GeneCards</a>"
"SKP2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SKP2', target = '_blank'>GeneCards</a>"
"SLC1A5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A5', target = '_blank'>GeneCards</a>"
"AKR1A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1A1', target = '_blank'>GeneCards</a>"
"LANCL2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=LANCL2', target = '_blank'>GeneCards</a>"
"DYRK4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DYRK4', target = '_blank'>GeneCards</a>"
"TSSK2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TSSK2', target = '_blank'>GeneCards</a>"
"CXCL8"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8', target = '_blank'>GeneCards</a>"
"DHRS9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DHRS9', target = '_blank'>GeneCards</a>"
"KYAT1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KYAT1', target = '_blank'>GeneCards</a>"
"KLK6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK6', target = '_blank'>GeneCards</a>"
"APOBEC3G"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC3G', target = '_blank'>GeneCards</a>"
"LHCGR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=LHCGR', target = '_blank'>GeneCards</a>"
"SLC28A3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC28A3', target = '_blank'>GeneCards</a>"
"KDM4D"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM4D', target = '_blank'>GeneCards</a>"
"USP7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=USP7', target = '_blank'>GeneCards</a>"
"KCNB1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNB1', target = '_blank'>GeneCards</a>"
"FANCF"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCF', target = '_blank'>GeneCards</a>"
"S100A8"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8', target = '_blank'>GeneCards</a>"
"SGMS2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SGMS2', target = '_blank'>GeneCards</a>"
"KCNK10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK10', target = '_blank'>GeneCards</a>"
"GPER1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GPER1', target = '_blank'>GeneCards</a>"
"SLC13A2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC13A2', target = '_blank'>GeneCards</a>"
"SLC13A3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC13A3', target = '_blank'>GeneCards</a>"
"HSPB1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPB1', target = '_blank'>GeneCards</a>"
"SUMO1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMO1', target = '_blank'>GeneCards</a>"
"GPR52"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR52', target = '_blank'>GeneCards</a>"
"AMDHD2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AMDHD2', target = '_blank'>GeneCards</a>"
"CTSF"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSF', target = '_blank'>GeneCards</a>"
"PIP5K1C"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PIP5K1C', target = '_blank'>GeneCards</a>"
"SHH"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SHH', target = '_blank'>GeneCards</a>"
"PANK2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK2', target = '_blank'>GeneCards</a>"
"PGF"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PGF', target = '_blank'>GeneCards</a>"
"YWHAB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAB', target = '_blank'>GeneCards</a>"
"YWHAH"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAH', target = '_blank'>GeneCards</a>"
"YWHAQ"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAQ', target = '_blank'>GeneCards</a>"
"ADCYAP1R1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCYAP1R1', target = '_blank'>GeneCards</a>"
"RHOC"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOC', target = '_blank'>GeneCards</a>"
"USP10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=USP10', target = '_blank'>GeneCards</a>"
